"","Species","Site","detection","num.samples","Sppcode","Diet","sitecov1"
"137","Burhinus oedicnemus","ADS1",4,10,9,0,1
"138","Burhinus oedicnemus","ADS3",2,10,9,0,0
"139","Burhinus oedicnemus","BD1",0,10,9,0,1
"140","Burhinus oedicnemus","BD2",0,10,9,0,0
"141","Burhinus oedicnemus","BD6",0,10,9,0,0
"142","Burhinus oedicnemus","BDC1",0,10,9,0,1
"143","Burhinus oedicnemus","BDC2",0,10,9,0,0
"144","Burhinus oedicnemus","BDC3",0,10,9,0,0
"145","Burhinus oedicnemus","BDC4",0,10,9,0,0
"146","Burhinus oedicnemus","BDC6",0,10,9,0,0
"147","Burhinus oedicnemus","BDC8",0,10,9,0,1
"148","Burhinus oedicnemus","BN1",3,10,9,0,1
"149","Burhinus oedicnemus","BN2",2,10,9,0,0
"150","Burhinus oedicnemus","BNC1",0,10,9,0,1
"151","Burhinus oedicnemus","BNC2",0,10,9,0,0
"152","Burhinus oedicnemus","BNC3",0,10,9,0,1
"153","Burhinus oedicnemus","CHC1",0,10,9,0,0
"154","Burhinus oedicnemus","CHC2",0,10,9,0,0
"155","Burhinus oedicnemus","CHC3",0,10,9,0,1
"156","Burhinus oedicnemus","CHC4",0,10,9,0,1
"157","Burhinus oedicnemus","CHC5",0,10,9,0,0
"158","Burhinus oedicnemus","CHC7",0,10,9,0,0
"159","Burhinus oedicnemus","CHS1",0,10,9,0,1
"160","Burhinus oedicnemus","CHS2",2,10,9,0,0
"161","Burhinus oedicnemus","CHS4",0,10,9,0,1
"162","Burhinus oedicnemus","CHS6",0,10,9,0,0
"163","Burhinus oedicnemus","MDC1",0,10,9,0,1
"164","Burhinus oedicnemus","MDS2",0,10,9,0,1
"165","Burhinus oedicnemus","MDS3",0,10,9,0,0
"166","Burhinus oedicnemus","MDS4",1,10,9,0,0
"167","Burhinus oedicnemus","TTC1",0,10,9,0,1
"168","Burhinus oedicnemus","TTC2",0,10,9,0,0
"169","Burhinus oedicnemus","TTS1",0,10,9,0,1
"170","Burhinus oedicnemus","TTS2",0,10,9,0,0
"171","Centropus sinensis","ADS1",0,10,19,1,1
"172","Centropus sinensis","ADS3",0,10,19,1,0
"173","Centropus sinensis","BD1",0,10,19,1,1
"174","Centropus sinensis","BD2",1,10,19,1,0
"175","Centropus sinensis","BD6",0,10,19,1,0
"176","Centropus sinensis","BDC1",0,10,19,1,1
"177","Centropus sinensis","BDC2",0,10,19,1,0
"178","Centropus sinensis","BDC3",0,10,19,1,0
"179","Centropus sinensis","BDC4",0,10,19,1,0
"180","Centropus sinensis","BDC6",0,10,19,1,0
"181","Centropus sinensis","BDC8",2,10,19,1,1
"182","Centropus sinensis","BN1",2,10,19,1,1
"183","Centropus sinensis","BN2",2,10,19,1,0
"184","Centropus sinensis","BNC1",0,10,19,1,1
"185","Centropus sinensis","BNC2",0,10,19,1,0
"186","Centropus sinensis","BNC3",0,10,19,1,1
"187","Centropus sinensis","CHC1",0,10,19,1,0
"188","Centropus sinensis","CHC2",0,10,19,1,0
"189","Centropus sinensis","CHC3",0,10,19,1,1
"190","Centropus sinensis","CHC4",0,10,19,1,1
"191","Centropus sinensis","CHC5",0,10,19,1,0
"192","Centropus sinensis","CHC7",0,10,19,1,0
"193","Centropus sinensis","CHS1",0,10,19,1,1
"194","Centropus sinensis","CHS2",0,10,19,1,0
"195","Centropus sinensis","CHS4",0,10,19,1,1
"196","Centropus sinensis","CHS6",4,10,19,1,0
"197","Centropus sinensis","MDC1",0,10,19,1,1
"198","Centropus sinensis","MDS2",1,10,19,1,1
"199","Centropus sinensis","MDS3",0,10,19,1,0
"200","Centropus sinensis","MDS4",0,10,19,1,0
"201","Centropus sinensis","TTC1",0,10,19,1,1
"202","Centropus sinensis","TTC2",0,10,19,1,0
"203","Centropus sinensis","TTS1",4,10,19,1,1
"204","Centropus sinensis","TTS2",2,10,19,1,0
"205","Cisticola juncidis","ADS1",0,10,44,0,1
"206","Cisticola juncidis","ADS3",0,10,44,0,0
"207","Cisticola juncidis","BD1",0,10,44,0,1
"208","Cisticola juncidis","BD2",0,10,44,0,0
"209","Cisticola juncidis","BD6",0,10,44,0,0
"210","Cisticola juncidis","BDC1",0,10,44,0,1
"211","Cisticola juncidis","BDC2",0,10,44,0,0
"212","Cisticola juncidis","BDC3",0,10,44,0,0
"213","Cisticola juncidis","BDC4",0,10,44,0,0
"214","Cisticola juncidis","BDC6",0,10,44,0,0
"215","Cisticola juncidis","BDC8",0,10,44,0,1
